start,名称,地点,人物,影响,end,poetry
617,晋阳起兵,nan,李渊、李世民,为建立唐朝奠定基础,617,0
618,唐朝统一战争,nan,渊、李世民、李元吉、秦叔宝,朝统一中国,628,0
626,玄武门之变,长安城,李世民、尉迟恭;李建成、李元吉,李世民获胜,626,0
626,渭水之盟,泾阳,李世民、颉利可汗,签署和平协议，双方斩杀白马立盟,626,0
620,唐突厥战争,nan,nan,突厥汗国的灭亡,657,0
627,贞观之治,nan,唐太宗,为后来的开元之治奠定了厚实的基础,649,0
619,租庸调制,nan,nan,农民生产时间较有保证，赋役负担相对减轻，使许多荒地开垦出来；政府的赋税收入有了保障，府兵制也得到巩固。这些都使国家富强起来。,619,0
619,羁縻政策,nan,nan,处理中央与地方少数民族聚居的关系，以维系中央集权制度的统治。,619,0
649,永徽之治,nan,唐高宗,边陲安定、百姓阜安,683,2
663,白江口之战,nan,唐朝、新罗;倭国、百济,唐朝、新罗联军胜利,663,0
666,唐灭高丽之战,nan,nan,唐军攻灭高丽,668,0
710,韦后之乱,nan,nan,韦皇后毒死中宗，阴谋夺权,710,1
712,开元之治,nan,唐玄宗,唐朝进入全盛时期，并成为当时世界上最强盛的国家,741,31
749,募兵制,nan,唐玄宗,增强军事力量,749,1
751,怛罗斯之战,nan,中国唐朝，阿拉伯帝国阿拔斯王朝,阿拔斯王朝获胜,751,1
755,安史之乱,nan,唐玄宗,是唐由盛而衰的转折点，也造成唐代藩镇割据,763,37
763,藩镇割据,nan,nan,nan,907,73
835,甘露之变,nan,nan,nan,835,3
808,牛李党争,nan,nan,nan,846,24
842,唐武帝灭佛,nan,nan,nan,846,6
905,白马驿之祸,nan,nan,nan,907,0
875,黄巢起义,nan,黄巢败亡，朱温篡唐建梁。,黄巢败亡，朱温篡唐建梁。,884,1
